Date;Time;Severity;TID;This;Function;Message
2017/11/09;18:55:59.328;ERROR;20347;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3134 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::1610:9fff:fed4:90db transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:500"
2017/11/09;18:55:59.337;ERROR;20350;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:59.337;ERROR;20350;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:3137 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::fb netSrc:fe80::462a:60ff:fef7:7b32 transportProtocol:UDP portDst:5353 portSrc5353 npackets:1 pktSize:432"
2017/11/09;18:57:32.027;ERROR;21093;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:32.033;ERROR;21093;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:134 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::9186:dbbd:2a45:50c2 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:57:32.335;ERROR;21278;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:32.335;ERROR;21278;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:315 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::25f5:ff:8bc9:3f18 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:57:32.477;ERROR;21399;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:32.477;ERROR;21399;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:436 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::1cbd:1f2f:70b2:2e9 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:160"
2017/11/09;18:57:33.910;ERROR;21974;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:33.910;ERROR;21974;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1010 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::b56e:758f:d6e2:b79e transportProtocol:UDP portDst:547 portSrc546 npackets:4 pktSize:160"
2017/11/09;18:57:34.529;ERROR;22187;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:34.529;ERROR;22187;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1215 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::90c:4042:a1c4:8d5 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:159"
2017/11/09;18:57:34.838;ERROR;22297;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:57:34.838;ERROR;22297;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1325 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::f137:edd5:886d:3b73 transportProtocol:UDP portDst:547 portSrc546 npackets:4 pktSize:160"
2017/11/09;18:57:38.832;ERROR;23795;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
